Employee ID,Last Name,First Name,Dependents,Hours Worked,Hourly Rate,Gross Pay,Pre-Tax Amount,State Tax (5.6%),Federal Tax (7.9%),Post-Tax Amount,Net Pay,
001,Moto,Joseph,1,40.0,18.5,740.0,740.0,41.44,58.46,640.1,640.1
002,Gonzalez,Alicia,2,45.0,22.0,1045.0,1045.0,58.52,82.56,903.92,903.92
003,alkire,Lajon,3,55.0,19.75,1234.38,1234.38,69.12,97.52,1067.73,1067.73
004,Smith,Bob,0,70.0,25.0,2125.0,2125.0,119.0,167.88,1838.12,1838.12
005,Let,Lucy,0,20.0,21.5,430.0,430.0,24.08,33.97,371.95,371.95
006,Johnson,Chris,4,38.5,17.0,654.5,654.5,36.65,51.71,566.14,566.14
007,Williams,Sara,8,50.5,23.25,1296.19,1296.19,72.59,102.4,1121.2,1121.2
008,Smalls,Mike,1,40.0,20.0,800.0,800.0,44.8,63.2,692.0,692.0
009,Davis,Lisa,1,10.0,24.5,245.0,245.0,13.72,19.36,211.93,211.93
010,Miller,Tom,2,42.0,16.75,720.25,720.25,40.33,56.9,623.02,623.02
TOTALS,,,,,,9290.31,9290.31,520.26,733.93,8036.12,8036.12
